date,Open,High,Low,Close,Change,Volume,TTM P_E Ratio_NZZH_JSZB,Index Points_NZZH_JSZB,Percentile_NZZH_JSZB
2022-12-15,11012.62,11029.57,10775.61,10810.53,-0.0323,4919738600,28.93,11004.62,33.9
2022-12-16,10767.64,10833.24,10642.1,10705.41,-0.0097,7431371800,28.2,10705.41,29.49
2022-12-19,10707.44,10713.97,10497.55,10546.03,-0.0149,4113090300,28.2,10705.41,29.49
2022-12-20,10490.89,10609.47,10446.82,10547.11,0.0001,4051181500,28.2,10705.41,29.49
2022-12-21,10592.0,10753.57,10569.2,10709.37,0.0154,3866364800,28.2,10705.41,29.49
2022-12-22,10586.46,10599.34,10313.32,10476.12,-0.0218,4446898500,28.2,10705.41,29.49
2022-12-23,10437.75,10514.76,10361.82,10497.86,0.0021,3035941200,27.95,10497.86,28.64
2022-12-27,10462.19,10472.32,10340.73,10353.23,-0.0138,3339057400,27.95,10497.86,28.64
2022-12-28,10339.2,10414.82,10207.47,10213.29,-0.0135,3284306300,27.95,10497.86,28.64
2022-12-29,10321.46,10502.08,10301.06,10478.09,0.0259,3638010100,27.95,10497.86,28.64
2022-12-30,10368.37,10468.31,10324.7,10466.48,-0.0011,3405053300,27.98,10466.48,28.73
2023-01-03,10562.06,10613.06,10309.16,10386.99,-0.0076,4198648900,27.98,10466.48,28.73
2023-01-04,10467.82,10515.22,10337.64,10458.76,0.0069,4482168200,27.98,10466.48,28.73
2023-01-05,10390.31,10393.22,10295.25,10305.24,-0.0147,4252439900,27.98,10466.48,28.73
2023-01-06,10363.96,10604.14,10265.04,10569.29,0.0256,4537157900,29.22,10569.29,35.93
2023-01-09,10662.11,10807.26,10619.12,10635.65,0.0063,4501078600,29.22,10569.29,35.93
2023-01-10,10607.72,10743.67,10589.6,10742.63,0.0101,4232025400,29.22,10569.29,35.93
2023-01-11,10794.99,10932.44,10762.73,10931.67,0.0176,4656808600,29.22,10569.29,35.93
2023-01-12,10969.26,11027.75,10797.12,11001.11,0.0064,4885429300,29.22,10569.29,35.93
2023-01-13,10906.37,11084.01,10900.16,11079.16,0.0071,4569522800,30.67,11079.16,44.83
2023-01-17,11070.0,11145.44,11024.72,11095.11,0.0014,4672271900,30.67,11079.16,44.83
2023-01-18,11170.95,11223.41,10952.05,10957.01,-0.0124,4564806000,30.67,11079.16,44.83
2023-01-19,10890.4,10932.52,10804.57,10852.27,-0.0096,4098333600,30.67,11079.16,44.83
2023-01-20,10924.66,11143.17,10885.65,11140.43,0.0266,5403504900,30.9,11140.43,45.93
2023-01-23,11171.94,11405.5,11144.03,11364.41,0.0201,5431116000,30.9,11140.43,45.93
2023-01-24,11302.93,11378.15,11282.65,11334.27,-0.0027,5304290600,30.9,11140.43,45.93
2023-01-25,11146.53,11334.22,11069.18,11313.36,-0.0018,5011080200,30.9,11140.43,45.93
2023-01-26,11458.41,11516.05,11341.19,11512.41,0.0176,5222450000,30.9,11140.43,45.93
2023-01-27,11470.47,11691.89,11470.27,11621.71,0.0095,5741856300,32.35,11621.71,53.05
2023-01-30,11512.34,11553.31,11388.54,11393.81,-0.0196,4578030400,32.35,11621.71,53.05
2023-01-31,11398.58,11586.01,11398.37,11584.55,0.0167,5112446400,32.35,11621.71,53.05
2023-02-01,11573.14,11904.02,11500.33,11816.32,0.02,5627246400,32.35,11621.71,53.05
2023-02-02,12065.15,12269.56,12024.14,12200.82,0.0325,6328244600,32.35,11621.71,53.05
2023-02-03,11946.86,12231.31,11946.86,12006.96,-0.0159,5134385400,35.36,12006.96,65.85
2023-02-06,11904.41,11973.41,11843.49,11887.45,-0.01,5024054400,35.36,12006.96,65.85
2023-02-07,11891.25,12150.22,11836.78,12113.79,0.019,4948823400,35.36,12006.96,65.85
2023-02-08,12069.12,12096.39,11890.09,11910.52,-0.0168,4503468800,35.36,12006.96,65.85
2023-02-09,12069.1,12070.96,11745.11,11789.58,-0.0102,4969569900,35.36,12006.96,65.85
2023-02-10,11714.6,11775.8,11630.54,11718.12,-0.0061,4275247600,34.7,11718.12,63.39
2023-02-13,11759.09,11910.92,11719.73,11891.79,0.0148,4242388100,34.7,11718.12,63.39
2023-02-14,11808.2,11999.85,11760.57,11960.15,0.0057,4275074300,34.7,11718.12,63.39
2023-02-15,11905.12,12071.29,11876.82,12070.59,0.0092,4536460600,34.7,11718.12,63.39
2023-02-16,11896.31,12040.34,11853.36,11855.83,-0.0178,4506599000,34.7,11718.12,63.39
2023-02-17,11777.51,11803.22,11673.21,11787.27,-0.0058,4311347500,35.09,11787.27,65.0
2023-02-21,11640.37,11684.14,11491.18,11492.3,-0.025,4440794600,35.09,11787.27,65.0
2023-02-22,11517.2,11582.52,11445.17,11507.07,0.0013,3886288500,35.09,11787.27,65.0
2023-02-23,11636.93,11638.98,11432.58,11590.4,0.0072,4077416400,35.09,11787.27,65.0
2023-02-24,11404.18,11434.36,11334.47,11394.94,-0.0169,3865751200,34.33,11394.94,61.69
2023-02-27,11517.19,11565.23,11444.6,11466.98,0.0063,4040561700,34.33,11394.94,61.69
2023-02-28,11451.05,11548.23,11435.39,11455.54,-0.001,4797794700,34.33,11394.94,61.69
2023-03-01,11447.58,11479.0,11349.87,11379.48,-0.0066,4425629900,34.33,11394.94,61.69
2023-03-02,11273.77,11487.59,11273.61,11462.98,0.0073,4866349500,34.33,11394.94,61.69
2023-03-03,11524.65,11699.63,11514.74,11689.01,0.0197,4557487300,35.08,11689.01,64.92
2023-03-06,11736.87,11827.92,11667.48,11675.74,-0.0011,4485593600,35.08,11689.01,64.92
2023-03-07,11670.98,11705.97,11512.03,11530.33,-0.0125,4988168600,35.08,11689.01,64.92
2023-03-08,11553.09,11601.23,11487.75,11576.0,0.004,4573608200,35.08,11689.01,64.92
2023-03-09,11578.31,11667.12,11319.98,11338.36,-0.0205,4430894300,35.08,11689.01,64.92
2023-03-10,11325.36,11373.81,11093.86,11138.89,-0.0176,5175632900,33.31,11138.89,57.63
2023-03-13,11041.46,11326.73,10982.8,11188.84,0.0045,5123765600,33.31,11138.89,57.63
2023-03-14,11357.74,11467.02,11284.93,11428.15,0.0214,4712046500,33.31,11138.89,57.63
2023-03-15,11291.17,11447.9,11238.44,11434.05,0.0005,4979949400,33.31,11138.89,57.63
2023-03-16,11384.87,11733.8,11365.49,11717.28,0.0248,4678328200,33.31,11138.89,57.63
2023-03-17,11696.35,11773.11,11562.63,11630.51,-0.0074,6949346300,35.08,11630.51,64.75
2023-03-20,11614.39,11695.55,11550.69,11675.54,0.0039,4233654000,35.08,11630.51,64.75
2023-03-21,11764.79,11879.16,11724.91,11860.11,0.0158,4293380600,35.08,11630.51,64.75
2023-03-22,11857.5,12013.99,11666.85,11669.96,-0.016,4264978100,35.08,11630.51,64.75
2023-03-23,11811.32,11962.69,11684.52,11787.4,0.0101,4246985100,35.08,11630.51,64.75
2023-03-24,11747.62,11826.23,11670.67,11823.96,0.0031,3699411700,35.71,11823.96,67.03
2023-03-27,11868.54,11903.21,11739.05,11768.84,-0.0047,3797543000,35.71,11823.96,67.03
2023-03-28,11752.76,11752.76,11635.03,11716.08,-0.0045,3549579200,35.71,11823.96,67.03
2023-03-29,11855.59,11941.6,11823.35,11926.24,0.0179,4086502300,35.71,11823.96,67.03
2023-03-30,12010.45,12044.79,11953.37,12013.47,0.0073,4321169200,35.71,11823.96,67.03
2023-03-31,12031.54,12227.93,12030.44,12221.91,0.0174,4968653100,37.45,12221.91,72.29
2023-04-03,12146.09,12196.34,12086.52,12189.45,-0.0027,4308802600,37.45,12221.91,72.29
2023-04-04,12208.49,12224.68,12081.81,12126.33,-0.0052,3758767100,37.45,12221.91,72.29
2023-04-05,12081.76,12086.75,11931.85,11996.86,-0.0107,3894159900,37.45,12221.91,72.29
2023-04-06,11939.08,12098.5,11898.36,12087.96,0.0076,3462244000,37.18,12087.96,71.19
2023-04-10,11975.14,12084.95,11924.2,12084.36,-0.0003,3909938100,37.18,12087.96,71.19
2023-04-11,12080.24,12091.27,12011.4,12031.88,-0.0043,4285438700,37.18,12087.96,71.19
2023-04-12,12110.87,12134.5,11916.54,11929.34,-0.0085,4298432600,37.18,12087.96,71.19
